dataset,year,variable,label,name
PSID Main Family Data,2013,ER57976,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2015,ER65156,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2013,ER53029,OWN OR RENT,own
PSID Main Family Data,2015,ER60030,OWN OR RENT,own
PSID Main Family Data,2013,ER53030,HOUSE VALUE,hvalue
PSID Main Family Data,2015,ER60031,HOUSE VALUE,hvalue
PSID Family-level,2013,ER53048,REM MORT PRINCIPAL,mortgage
PSID Family-level,2015,ER60049,REM MORT PRINCIPAL,mortgage
PSID Family-level,2013,ER53003,PSID STATE NOW,state
PSID Family-level,2015,ER60003,PSID STATE NOW,state
PSID Family-level,2013,ER58152,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2015,ER65349,TOTAL FAMILY INCOME LAST YEAR,faminc
