dataset,year,variable,label,name
PSID Main Family Data,1996,ER8915,G133 WTR BANKRPT SINCE91,bankrupt_91
PSID Main Family Data,1996,ER8916,G134 # BANKRUPTCIES	  ,bankrupt_num
PSID Main Family Data,1996,ER8917,G135 YEAR BNKRPT FILED 1,bankrupt1_year
PSID Main Family Data,1996,ER8918,G136 STATE FILED-BNKRPT1,bankrupt1_where
PSID Main Family Data,1996,ER8919,G137 WHY FILED1-BNKRPT1 ,bankrupt1_why1
PSID Main Family Data,1996,ER8920,G137 WHY FILED2-BNKRPT1 ,bankrupt1_why2
PSID Main Family Data,1996,ER8921,G137 WHY FILED3-BNKRPT1 ,bankrupt1_why3
PSID Main Family Data,1996,ER8926,G138 CHAPTR 7/13-BNKRPT1,bankrupt1_7_13
PSID Main Family Data,1996,ER8927,G139 COURT TAKE PROP-BK1,bankrupt1_property
PSID Main Family Data,1996,ER8928,G140 VALUE OF PROP-BKRP1,bankrupt1_property_val
PSID Main Family Data,1996,ER8929,G141 AMT FROM ERNG-BKRP1,bankrupt1_repay_amt
PSID Main Family Data,1996,ER8930,G141 PER FROM ERNG-BKRP1,bankrupt1_repay_per
PSID Main Family Data,1996,ER8931,G142 REPAYMENT LNGTH-YR1,bankrupt1_repay_length
PSID Main Family Data,1996,ER8934,G143 REPAYMENT DONE-BKR1,bankrupt1_repay_done
PSID Main Family Data,1996,ER8935,G144 TOT DEBT FILED-BKR1,bankrupt1_initdebt
PSID Main Family Data,1996,ER8936,G145 REM DEBT AT END-BK1,bankrupt1_enddebt
PSID Main Family Data,1996,ER8943,G135 YEAR BNKRPT FILED 2,bankrupt2_year
PSID Main Family Data,1996,ER8944,G136 STATE FILED-BNKRPT2,bankrupt2_where
PSID Main Family Data,1996,ER8945,G137 WHY FILED1-BNKRPT2 ,bankrupt2_why1
PSID Main Family Data,1996,ER8946,G137 WHY FILED2-BNKRPT2 ,bankrupt2_why2
PSID Main Family Data,1996,ER8947,G137 WHY FILED3-BNKRPT2 ,bankrupt2_why3
PSID Main Family Data,1996,ER8952,G138 CHAPTR 7/13-BNKRPT2,bankrupt2_7_13
PSID Main Family Data,1996,ER8953,G139 COURT TAKE PROP-BK2,bankrupt2_property
PSID Main Family Data,1996,ER8954,G140 VALUE OF PROP-BKRP2,bankrupt2_property_val
PSID Main Family Data,1996,ER8955,G141 AMT FROM ERNG-BKRP2,bankrupt2_repay_amt
PSID Main Family Data,1996,ER8956,G141 PER FROM ERNG-BKRP2,bankrupt2_repay_per
PSID Main Family Data,1996,ER8957,G142 REPAYMENT LNGTH-YR2,bankrupt2_repay_length
PSID Main Family Data,1996,ER8960,G143 REPAYMENT DONE-BKR2,bankrupt2_repay_done
PSID Main Family Data,1996,ER8961,G144 TOT DEBT FILED-BKR2,bankrupt2_initdebt
PSID Main Family Data,1996,ER8962,G145 REM DEBT AT END-BK2,bankrupt2_enddebt
PSID Main Family Data,1968,V47,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1969,V465,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1970,V1138,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1971,V1839,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1972,V2439,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1973,V3027,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1974,V3423,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1975,V3823,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1976,V4332,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1977,V5232,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1978,V5731,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1979,V6336,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1980,V6934,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1981,V7530,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1982,V8228,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1983,V8830,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1984,V10037,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1985,V11146,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1986,V12545,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1987,V13745,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1988,V14835,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1989,V16335,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1990,V17744,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1991,V19044,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1992,V20344,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1993,V21634,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1994,ER4096,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1995,ER6936,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1996,ER9187,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1997,ER12174,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1999,ER16471,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2001,ER20399,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2003,ER24080,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2005,ER27886,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2007,ER40876,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2009,ER46767,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2011,ER52175,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2013,ER57976,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2015,ER65156,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1968,V103,OWN OR RENT,own
PSID Main Family Data,1969,V593,OWN OR RENT,own
PSID Main Family Data,1970,V1264,OWN OR RENT,own
PSID Main Family Data,1971,V1967,OWN OR RENT,own
PSID Main Family Data,1972,V2566,OWN OR RENT,own
PSID Main Family Data,1973,V3108,OWN OR RENT,own
PSID Main Family Data,1974,V3522,OWN OR RENT,own
PSID Main Family Data,1975,V3939,OWN OR RENT,own
PSID Main Family Data,1976,V4450,OWN OR RENT,own
PSID Main Family Data,1977,V5364,OWN OR RENT,own
PSID Main Family Data,1978,V5864,OWN OR RENT,own
PSID Main Family Data,1979,V6479,OWN OR RENT,own
PSID Main Family Data,1980,V7084,OWN OR RENT,own
PSID Main Family Data,1981,V7675,OWN OR RENT,own
PSID Main Family Data,1982,V8364,OWN OR RENT,own
PSID Main Family Data,1983,V8974,OWN OR RENT,own
PSID Main Family Data,1984,V10437,OWN OR RENT,own
PSID Main Family Data,1985,V11618,OWN OR RENT,own
PSID Main Family Data,1986,V13023,OWN OR RENT,own
PSID Main Family Data,1987,V14126,OWN OR RENT,own
PSID Main Family Data,1988,V15140,OWN OR RENT,own
PSID Main Family Data,1989,V16641,OWN OR RENT,own
PSID Main Family Data,1990,V18072,OWN OR RENT,own
PSID Main Family Data,1991,V19372,OWN OR RENT,own
PSID Main Family Data,1992,V20672,OWN OR RENT,own
PSID Main Family Data,1993,V22427,OWN OR RENT,own
PSID Main Family Data,1994,ER2032,OWN OR RENT,own
PSID Main Family Data,1995,ER5031,OWN OR RENT,own
PSID Main Family Data,1996,ER7031,OWN OR RENT,own
PSID Main Family Data,1997,ER10035,OWN OR RENT,own
PSID Main Family Data,1999,ER13040,OWN OR RENT,own
PSID Main Family Data,2001,ER17043,OWN OR RENT,own
PSID Main Family Data,2003,ER21042,OWN OR RENT,own
PSID Main Family Data,2005,ER25028,OWN OR RENT,own
PSID Main Family Data,2007,ER36028,OWN OR RENT,own
PSID Main Family Data,2009,ER42029,OWN OR RENT,own
PSID Main Family Data,2011,ER47329,OWN OR RENT,own
