dataset,year,variable,label
PSID Individual Data by Years,1968,ER30004,AGE OF INDIVIDUAL 68
PSID Individual Data by Years,1969,ER30023,AGE OF INDIVIDUAL 69
PSID Individual Data by Years,1970,ER30046,AGE OF INDIVIDUAL 70
PSID Individual Data by Years,1971,ER30070,AGE OF INDIVIDUAL 71
PSID Individual Data by Years,1972,ER30094,AGE OF INDIVIDUAL 72
PSID Individual Data by Years,1973,ER30120,AGE OF INDIVIDUAL 73
PSID Individual Data by Years,1974,ER30141,AGE OF INDIVIDUAL 74
PSID Individual Data by Years,1975,ER30163,AGE OF INDIVIDUAL 75
PSID Individual Data by Years,1976,ER30191,AGE OF INDIVIDUAL 76
PSID Individual Data by Years,1977,ER30220,AGE OF INDIVIDUAL 77
PSID Individual Data by Years,1978,ER30249,AGE OF INDIVIDUAL 78
PSID Individual Data by Years,1979,ER30286,AGE OF INDIVIDUAL 79
PSID Individual Data by Years,1980,ER30316,AGE OF INDIVIDUAL 80
PSID Individual Data by Years,1981,ER30346,AGE OF INDIVIDUAL 81
PSID Individual Data by Years,1982,ER30376,AGE OF INDIVIDUAL 82
PSID Individual Data by Years,1983,ER30402,AGE OF INDIVIDUAL 83
PSID Individual Data by Years,1984,ER30432,AGE OF INDIVIDUAL 84
PSID Individual Data by Years,1985,ER30466,AGE OF INDIVIDUAL 85
PSID Individual Data by Years,1986,ER30501,AGE OF INDIVIDUAL 86
PSID Individual Data by Years,1987,ER30538,AGE OF INDIVIDUAL 87
PSID Individual Data by Years,1988,ER30573,AGE OF INDIVIDUAL 88
PSID Individual Data by Years,1989,ER30609,AGE OF INDIVIDUAL 89
PSID Individual Data by Years,1990,ER30645,AGE OF INDIVIDUAL 90
PSID Individual Data by Years,1991,ER30692,AGE OF INDIVIDUAL 91
PSID Individual Data by Years,1992,ER30736,AGE OF INDIVIDUAL 92
PSID Individual Data by Years,1993,ER30809,AGE OF INDIVIDUAL 93
PSID Individual Data by Years,1994,ER33104,AGE OF INDIVIDUAL 94
PSID Individual Data by Years,1995,ER33204,AGE OF INDIVIDUAL 95
PSID Individual Data by Years,1996,ER33304,AGE OF INDIVIDUAL 96
PSID Individual Data by Years,1997,ER33404,AGE OF INDIVIDUAL 97
PSID Individual Data by Years,1999,ER33504,AGE OF INDIVIDUAL 99
PSID Individual Data by Years,2001,ER33604,AGE OF INDIVIDUAL 01
PSID Individual Data by Years,2003,ER33704,AGE OF INDIVIDUAL 03
PSID Individual Data by Years,2005,ER33804,AGE OF INDIVIDUAL 05
PSID Individual Data by Years,2007,ER33904,AGE OF INDIVIDUAL 07
PSID Individual Data by Years,2009,ER34004,AGE OF INDIVIDUAL 09
PSID Individual Data by Years,2011,ER34104,AGE OF INDIVIDUAL 11
PSID Individual Data by Years,2013,ER34204,AGE OF INDIVIDUAL 13
PSID Individual Data by Years,1968,NA,NO EDUC VAR
